model_a,model_b,suite,n_tasks,mean_diff,ci_low,ci_high,p_value
Qwen__Qwen3-Embedding-4B,abhinand__MedEmbed-small-v0.1,full,12,0.0577,0.0071,0.1094,0.026
Qwen__Qwen3-Embedding-4B,deepseek__deepseek-v4-flash,full,12,0.0797,-0.0163,0.1707,0.1052
Qwen__Qwen3-Embedding-4B,google__gemini-3.1-flash-lite-preview,full,12,0.1072,-0.013,0.2305,0.0822
Qwen__Qwen3-Embedding-4B,intfloat__multilingual-e5-small,full,12,0.0948,0.043,0.15,0.0
Qwen__Qwen3-Embedding-4B,ncbi__MedCPT,full,12,0.1296,0.0395,0.2157,0.005
Qwen__Qwen3-Embedding-4B,sentence-transformers__all-MiniLM-L6-v2,full,12,0.0658,0.0049,0.1269,0.0314
abhinand__MedEmbed-base-v0.1,Snowflake__snowflake-arctic-embed-l-v2.0,full,12,0.0141,-0.0091,0.0376,0.2332
abhinand__MedEmbed-large-v0.1,Snowflake__snowflake-arctic-embed-l-v2.0,full,12,0.0118,-0.0171,0.0392,0.4258
abhinand__MedEmbed-small-v0.1,Snowflake__snowflake-arctic-embed-l-v2.0,full,12,0.0093,-0.0186,0.035,0.4918
Snowflake__snowflake-arctic-embed-l-v2.0,deepseek__deepseek-v4-flash,full,12,0.0127,-0.0531,0.0801,0.7088
Snowflake__snowflake-arctic-embed-l-v2.0,google__gemini-3.1-flash-lite-preview,full,12,0.0402,-0.0629,0.1457,0.456
Snowflake__snowflake-arctic-embed-l-v2.0,intfloat__multilingual-e5-small,full,12,0.0279,-0.0027,0.0606,0.0754
Snowflake__snowflake-arctic-embed-l-v2.0,ncbi__MedCPT,full,12,0.0626,0.004,0.1383,0.0312
sentence-transformers__all-MiniLM-L6-v2,Snowflake__snowflake-arctic-embed-l-v2.0,full,12,0.0011,-0.0347,0.0309,0.886
abhinand__MedEmbed-base-v0.1,abhinand__MedEmbed-large-v0.1,full,12,0.0023,-0.0082,0.0131,0.6886
abhinand__MedEmbed-base-v0.1,abhinand__MedEmbed-small-v0.1,full,12,0.0049,-0.0082,0.0181,0.4742
abhinand__MedEmbed-base-v0.1,deepseek__deepseek-v4-flash,full,12,0.0268,-0.0382,0.0959,0.4266
