model_a,model_b,suite,n_tasks,mean_diff,ci_low,ci_high,p_value
Qwen__Qwen3-Embedding-4B,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0434,-0.0018,0.1078,0.0666
Qwen__Qwen3-Embedding-8B,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0468,0.0007,0.1109,0.0424
Salesforce__SFR-Embedding-2_R,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0416,-0.0148,0.1081,0.1644
Linq-AI-Research__Linq-Embed-Mistral,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0664,0.0313,0.0982,0.0004
Linq-AI-Research__Linq-Embed-Mistral,abhinand__MedEmbed-base-v0.1,lifted,7,0.0473,0.0284,0.0654,0.0
Linq-AI-Research__Linq-Embed-Mistral,abhinand__MedEmbed-large-v0.1,lifted,7,0.0489,0.0226,0.0761,0.0
Linq-AI-Research__Linq-Embed-Mistral,abhinand__MedEmbed-small-v0.1,lifted,7,0.0433,0.0197,0.0691,0.0002
bflhc__Octen-Embedding-8B,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0464,0.0048,0.1068,0.0136
codefuse-ai__F2LLM-v2-0.6B,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0152,-0.0316,0.0565,0.484
codefuse-ai__F2LLM-v2-1.7B,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0348,-0.0183,0.0879,0.2014
codefuse-ai__F2LLM-v2-14B,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0286,-0.0286,0.0806,0.306
codefuse-ai__F2LLM-v2-4B,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.026,-0.0227,0.0735,0.3
codefuse-ai__F2LLM-v2-8B,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0283,-0.0272,0.0806,0.3064
Linq-AI-Research__Linq-Embed-Mistral,deepseek-r1,lifted,7,0.1073,0.0172,0.1963,0.0194
Linq-AI-Research__Linq-Embed-Mistral,deepseek__deepseek-v4-flash,lifted,7,0.1156,0.0218,0.2106,0.0176
Linq-AI-Research__Linq-Embed-Mistral,glm-4.7,lifted,7,0.0744,-0.026,0.1672,0.1358
google__embeddinggemma-300m,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0181,-0.0113,0.0597,0.3758
Linq-AI-Research__Linq-Embed-Mistral,google__gemini-3-flash-preview,lifted,7,0.0112,-0.0826,0.1194,0.8324
Linq-AI-Research__Linq-Embed-Mistral,google__gemini-3.1-flash-lite-preview,lifted,7,0.1665,0.0023,0.3218,0.046
google__gemini-3.1-pro-preview,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.06,0.0183,0.1122,0.0
Linq-AI-Research__Linq-Embed-Mistral,intfloat__e5-mistral-7b-instruct,lifted,7,0.1628,0.0954,0.2345,0.0
Linq-AI-Research__Linq-Embed-Mistral,intfloat__multilingual-e5-base,lifted,7,0.085,0.0488,0.1183,0.0
Linq-AI-Research__Linq-Embed-Mistral,intfloat__multilingual-e5-large,lifted,7,0.068,0.0426,0.093,0.0
Linq-AI-Research__Linq-Embed-Mistral,intfloat__multilingual-e5-large-instruct,lifted,7,0.0203,0.0028,0.038,0.022
Linq-AI-Research__Linq-Embed-Mistral,intfloat__multilingual-e5-small,lifted,7,0.0841,0.0524,0.114,0.0
jinaai__jina-embeddings-v5-text-nano,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.042,-0.0073,0.1137,0.1438
jinaai__jina-embeddings-v5-text-small,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0466,0.0012,0.1149,0.0348
Linq-AI-Research__Linq-Embed-Mistral,kimi-k2.6,lifted,7,0.0246,-0.0537,0.0892,0.4782
Linq-AI-Research__Linq-Embed-Mistral,minimax-m2.7,lifted,7,0.0691,-0.0282,0.155,0.1528
Linq-AI-Research__Linq-Embed-Mistral,ncbi__MedCPT,lifted,7,0.1594,0.0762,0.2606,0.0
nvidia__llama-embed-nemotron-8b,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0388,0.0082,0.0881,0.0
qwen3.6-27b,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.002,-0.0658,0.0777,0.9942
qwen3.6-35b-a3b,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0081,-0.0486,0.081,0.882
Linq-AI-Research__Linq-Embed-Mistral,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.071,0.042,0.108,0.0
tencent__KaLM-Embedding-Gemma3-12B-2511,Linq-AI-Research__Linq-Embed-Mistral,lifted,7,0.0292,-0.0194,0.0928,0.2958
Qwen__Qwen3-Embedding-0.6B,NeuML__pubmedbert-base-embeddings,lifted,7,0.1196,0.061,0.1795,0.0
Qwen__Qwen3-Embedding-4B,NeuML__pubmedbert-base-embeddings,lifted,7,0.1592,0.0819,0.24,0.0
Qwen__Qwen3-Embedding-8B,NeuML__pubmedbert-base-embeddings,lifted,7,0.1626,0.0793,0.2449,0.0
Salesforce__SFR-Embedding-2_R,NeuML__pubmedbert-base-embeddings,lifted,7,0.1574,0.0984,0.2279,0.0
Snowflake__snowflake-arctic-embed-l-v2.0,NeuML__pubmedbert-base-embeddings,lifted,7,0.0494,-0.0055,0.1182,0.089
abhinand__MedEmbed-base-v0.1,NeuML__pubmedbert-base-embeddings,lifted,7,0.0684,0.0143,0.1298,0.0016
abhinand__MedEmbed-large-v0.1,NeuML__pubmedbert-base-embeddings,lifted,7,0.0668,0.0234,0.1161,0.0
abhinand__MedEmbed-small-v0.1,NeuML__pubmedbert-base-embeddings,lifted,7,0.0725,0.0333,0.1155,0.0
bflhc__Octen-Embedding-8B,NeuML__pubmedbert-base-embeddings,lifted,7,0.1621,0.0786,0.2468,0.0
codefuse-ai__F2LLM-v2-0.6B,NeuML__pubmedbert-base-embeddings,lifted,7,0.131,0.0733,0.1893,0.0
codefuse-ai__F2LLM-v2-1.7B,NeuML__pubmedbert-base-embeddings,lifted,7,0.1506,0.0879,0.2149,0.0
codefuse-ai__F2LLM-v2-14B,NeuML__pubmedbert-base-embeddings,lifted,7,0.1443,0.0747,0.2169,0.0
codefuse-ai__F2LLM-v2-4B,NeuML__pubmedbert-base-embeddings,lifted,7,0.1417,0.0796,0.2077,0.0
codefuse-ai__F2LLM-v2-8B,NeuML__pubmedbert-base-embeddings,lifted,7,0.1441,0.0763,0.2169,0.0
deepseek-r1,NeuML__pubmedbert-base-embeddings,lifted,7,0.0085,-0.107,0.1217,0.9082
deepseek__deepseek-v4-flash,NeuML__pubmedbert-base-embeddings,lifted,7,0.0002,-0.1285,0.1244,0.9962
glm-4.7,NeuML__pubmedbert-base-embeddings,lifted,7,0.0414,-0.0816,0.1658,0.5354
google__embeddinggemma-300m,NeuML__pubmedbert-base-embeddings,lifted,7,0.1339,0.0658,0.2013,0.0
google__gemini-3-flash-preview,NeuML__pubmedbert-base-embeddings,lifted,7,0.1046,0.0241,0.1953,0.0032
NeuML__pubmedbert-base-embeddings,google__gemini-3.1-flash-lite-preview,lifted,7,0.0507,-0.1195,0.2218,0.5508
google__gemini-3.1-pro-preview,NeuML__pubmedbert-base-embeddings,lifted,7,0.1757,0.0899,0.2669,0.0
NeuML__pubmedbert-base-embeddings,intfloat__e5-mistral-7b-instruct,lifted,7,0.047,-0.0194,0.1373,0.2466
intfloat__multilingual-e5-base,NeuML__pubmedbert-base-embeddings,lifted,7,0.0308,-0.0285,0.0936,0.3468
intfloat__multilingual-e5-large,NeuML__pubmedbert-base-embeddings,lifted,7,0.0477,-0.0123,0.1133,0.165
intfloat__multilingual-e5-large-instruct,NeuML__pubmedbert-base-embeddings,lifted,7,0.0955,0.0482,0.1472,0.0
intfloat__multilingual-e5-small,NeuML__pubmedbert-base-embeddings,lifted,7,0.0317,-0.0158,0.0852,0.213
jinaai__jina-embeddings-v5-text-nano,NeuML__pubmedbert-base-embeddings,lifted,7,0.1577,0.0803,0.2443,0.0
jinaai__jina-embeddings-v5-text-small,NeuML__pubmedbert-base-embeddings,lifted,7,0.1623,0.0777,0.2513,0.0
kimi-k2.6,NeuML__pubmedbert-base-embeddings,lifted,7,0.0911,0.0097,0.1816,0.0238
minimax-m2.7,NeuML__pubmedbert-base-embeddings,lifted,7,0.0467,-0.0535,0.1534,0.3902
NeuML__pubmedbert-base-embeddings,ncbi__MedCPT,lifted,7,0.0436,-0.0009,0.0903,0.055
nvidia__llama-embed-nemotron-8b,NeuML__pubmedbert-base-embeddings,lifted,7,0.1546,0.081,0.2293,0.0
qwen3.6-27b,NeuML__pubmedbert-base-embeddings,lifted,7,0.1178,0.017,0.2283,0.0354
qwen3.6-35b-a3b,NeuML__pubmedbert-base-embeddings,lifted,7,0.1239,0.031,0.2275,0.0008
sentence-transformers__all-MiniLM-L6-v2,NeuML__pubmedbert-base-embeddings,lifted,7,0.0447,0.0124,0.0804,0.0034
tencent__KaLM-Embedding-Gemma3-12B-2511,NeuML__pubmedbert-base-embeddings,lifted,7,0.1449,0.0827,0.216,0.0
Qwen__Qwen3-Embedding-4B,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0396,0.0181,0.0654,0.0
Qwen__Qwen3-Embedding-8B,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.043,0.0128,0.0725,0.0058
Salesforce__SFR-Embedding-2_R,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0378,-0.0072,0.0714,0.1082
Qwen__Qwen3-Embedding-0.6B,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0703,0.0009,0.1338,0.0476
Qwen__Qwen3-Embedding-0.6B,abhinand__MedEmbed-base-v0.1,lifted,7,0.0512,0.0119,0.0934,0.011
Qwen__Qwen3-Embedding-0.6B,abhinand__MedEmbed-large-v0.1,lifted,7,0.0528,0.0152,0.0978,0.002
Qwen__Qwen3-Embedding-0.6B,abhinand__MedEmbed-small-v0.1,lifted,7,0.0472,0.0114,0.0913,0.006
bflhc__Octen-Embedding-8B,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0425,0.0104,0.0799,0.0008
codefuse-ai__F2LLM-v2-0.6B,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0113,-0.0738,0.0774,0.6976
codefuse-ai__F2LLM-v2-1.7B,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0309,-0.0597,0.1059,0.4396
codefuse-ai__F2LLM-v2-14B,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0247,-0.0724,0.1058,0.5598
codefuse-ai__F2LLM-v2-4B,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0221,-0.067,0.0957,0.5608
codefuse-ai__F2LLM-v2-8B,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0245,-0.0713,0.1055,0.5552
Qwen__Qwen3-Embedding-0.6B,deepseek-r1,lifted,7,0.1112,0.0381,0.1929,0.0
Qwen__Qwen3-Embedding-0.6B,deepseek__deepseek-v4-flash,lifted,7,0.1195,0.0433,0.2084,0.0
Qwen__Qwen3-Embedding-0.6B,glm-4.7,lifted,7,0.0782,0.0021,0.1643,0.0424
google__embeddinggemma-300m,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0142,-0.0084,0.0451,0.3392
Qwen__Qwen3-Embedding-0.6B,google__gemini-3-flash-preview,lifted,7,0.0151,-0.0342,0.0795,0.649
Qwen__Qwen3-Embedding-0.6B,google__gemini-3.1-flash-lite-preview,lifted,7,0.1703,0.0322,0.3084,0.0138
google__gemini-3.1-pro-preview,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0561,0.0135,0.1154,0.0
Qwen__Qwen3-Embedding-0.6B,intfloat__e5-mistral-7b-instruct,lifted,7,0.1666,0.1166,0.2194,0.0
Qwen__Qwen3-Embedding-0.6B,intfloat__multilingual-e5-base,lifted,7,0.0889,0.0307,0.154,0.0006
Qwen__Qwen3-Embedding-0.6B,intfloat__multilingual-e5-large,lifted,7,0.0719,0.0142,0.1366,0.011
Qwen__Qwen3-Embedding-0.6B,intfloat__multilingual-e5-large-instruct,lifted,7,0.0241,-0.017,0.0784,0.349
Qwen__Qwen3-Embedding-0.6B,intfloat__multilingual-e5-small,lifted,7,0.088,0.0423,0.1425,0.0
jinaai__jina-embeddings-v5-text-nano,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0381,0.0129,0.07,0.0002
jinaai__jina-embeddings-v5-text-small,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0427,0.0141,0.0765,0.0
Qwen__Qwen3-Embedding-0.6B,kimi-k2.6,lifted,7,0.0285,-0.0153,0.0728,0.202
Qwen__Qwen3-Embedding-0.6B,minimax-m2.7,lifted,7,0.073,0.0079,0.1405,0.0286
Qwen__Qwen3-Embedding-0.6B,ncbi__MedCPT,lifted,7,0.1633,0.0878,0.2438,0.0
nvidia__llama-embed-nemotron-8b,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0349,0.0079,0.0674,0.0014
Qwen__Qwen3-Embedding-0.6B,qwen3.6-27b,lifted,7,0.0018,-0.071,0.0667,0.9244
qwen3.6-35b-a3b,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0043,-0.0495,0.0657,0.9204
Qwen__Qwen3-Embedding-0.6B,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.0749,0.0408,0.1224,0.0
tencent__KaLM-Embedding-Gemma3-12B-2511,Qwen__Qwen3-Embedding-0.6B,lifted,7,0.0253,0.0044,0.0485,0.0108
Qwen__Qwen3-Embedding-8B,Qwen__Qwen3-Embedding-4B,lifted,7,0.0034,-0.0092,0.0152,0.5554
Qwen__Qwen3-Embedding-4B,Salesforce__SFR-Embedding-2_R,lifted,7,0.0018,-0.0258,0.0406,0.9934
Qwen__Qwen3-Embedding-4B,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.1098,0.0376,0.1894,0.0014
Qwen__Qwen3-Embedding-4B,abhinand__MedEmbed-base-v0.1,lifted,7,0.0907,0.0419,0.1551,0.0
Qwen__Qwen3-Embedding-4B,abhinand__MedEmbed-large-v0.1,lifted,7,0.0924,0.037,0.1613,0.0
Qwen__Qwen3-Embedding-4B,abhinand__MedEmbed-small-v0.1,lifted,7,0.0867,0.0329,0.1541,0.0
bflhc__Octen-Embedding-8B,Qwen__Qwen3-Embedding-4B,lifted,7,0.0029,-0.0116,0.0235,0.795
Qwen__Qwen3-Embedding-4B,codefuse-ai__F2LLM-v2-0.6B,lifted,7,0.0282,-0.0434,0.1329,0.6274
Qwen__Qwen3-Embedding-4B,codefuse-ai__F2LLM-v2-1.7B,lifted,7,0.0086,-0.0734,0.1195,0.951
Qwen__Qwen3-Embedding-4B,codefuse-ai__F2LLM-v2-14B,lifted,7,0.0149,-0.0718,0.1299,0.8338
Qwen__Qwen3-Embedding-4B,codefuse-ai__F2LLM-v2-4B,lifted,7,0.0174,-0.061,0.125,0.7944
Qwen__Qwen3-Embedding-4B,codefuse-ai__F2LLM-v2-8B,lifted,7,0.0151,-0.0704,0.1293,0.857
Qwen__Qwen3-Embedding-4B,deepseek-r1,lifted,7,0.1507,0.0755,0.2256,0.0
Qwen__Qwen3-Embedding-4B,deepseek__deepseek-v4-flash,lifted,7,0.159,0.0895,0.2393,0.0
Qwen__Qwen3-Embedding-4B,glm-4.7,lifted,7,0.1178,0.0554,0.194,0.0
Qwen__Qwen3-Embedding-4B,google__embeddinggemma-300m,lifted,7,0.0253,0.0008,0.0507,0.0422
Qwen__Qwen3-Embedding-4B,google__gemini-3-flash-preview,lifted,7,0.0546,0.0038,0.129,0.0284
Qwen__Qwen3-Embedding-4B,google__gemini-3.1-flash-lite-preview,lifted,7,0.2099,0.0739,0.3427,0.0016
google__gemini-3.1-pro-preview,Qwen__Qwen3-Embedding-4B,lifted,7,0.0166,-0.0194,0.0653,0.4956
Qwen__Qwen3-Embedding-4B,intfloat__e5-mistral-7b-instruct,lifted,7,0.2062,0.1466,0.2659,0.0
Qwen__Qwen3-Embedding-4B,intfloat__multilingual-e5-base,lifted,7,0.1284,0.0576,0.2136,0.0
Qwen__Qwen3-Embedding-4B,intfloat__multilingual-e5-large,lifted,7,0.1115,0.0471,0.1964,0.0
Qwen__Qwen3-Embedding-4B,intfloat__multilingual-e5-large-instruct,lifted,7,0.0637,0.0132,0.1389,0.003
Qwen__Qwen3-Embedding-4B,intfloat__multilingual-e5-small,lifted,7,0.1275,0.0675,0.2046,0.0
Qwen__Qwen3-Embedding-4B,jinaai__jina-embeddings-v5-text-nano,lifted,7,0.0015,-0.0122,0.0144,0.8052
jinaai__jina-embeddings-v5-text-small,Qwen__Qwen3-Embedding-4B,lifted,7,0.0031,-0.0078,0.0137,0.5964
Qwen__Qwen3-Embedding-4B,kimi-k2.6,lifted,7,0.0681,0.0312,0.1058,0.0
Qwen__Qwen3-Embedding-4B,minimax-m2.7,lifted,7,0.1125,0.0506,0.1739,0.0
Qwen__Qwen3-Embedding-4B,ncbi__MedCPT,lifted,7,0.2028,0.1127,0.2926,0.0
Qwen__Qwen3-Embedding-4B,nvidia__llama-embed-nemotron-8b,lifted,7,0.0046,-0.018,0.0253,0.6792
Qwen__Qwen3-Embedding-4B,qwen3.6-27b,lifted,7,0.0414,-0.0186,0.094,0.171
Qwen__Qwen3-Embedding-4B,qwen3.6-35b-a3b,lifted,7,0.0353,-0.0094,0.0737,0.1202
Qwen__Qwen3-Embedding-4B,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.1145,0.0628,0.1854,0.0
Qwen__Qwen3-Embedding-4B,tencent__KaLM-Embedding-Gemma3-12B-2511,lifted,7,0.0143,-0.0017,0.0299,0.0814
Qwen__Qwen3-Embedding-8B,Salesforce__SFR-Embedding-2_R,lifted,7,0.0052,-0.0274,0.0442,0.841
Qwen__Qwen3-Embedding-8B,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.1132,0.0366,0.193,0.0024
Qwen__Qwen3-Embedding-8B,abhinand__MedEmbed-base-v0.1,lifted,7,0.0942,0.0378,0.1591,0.0012
Qwen__Qwen3-Embedding-8B,abhinand__MedEmbed-large-v0.1,lifted,7,0.0958,0.0326,0.1658,0.002
Qwen__Qwen3-Embedding-8B,abhinand__MedEmbed-small-v0.1,lifted,7,0.0902,0.0278,0.1584,0.0026
Qwen__Qwen3-Embedding-8B,bflhc__Octen-Embedding-8B,lifted,7,0.0005,-0.0152,0.0163,0.9666
Qwen__Qwen3-Embedding-8B,codefuse-ai__F2LLM-v2-0.6B,lifted,7,0.0317,-0.0377,0.1351,0.5924
Qwen__Qwen3-Embedding-8B,codefuse-ai__F2LLM-v2-1.7B,lifted,7,0.012,-0.0664,0.1201,0.8744
Qwen__Qwen3-Embedding-8B,codefuse-ai__F2LLM-v2-14B,lifted,7,0.0183,-0.062,0.1314,0.7882
Qwen__Qwen3-Embedding-8B,codefuse-ai__F2LLM-v2-4B,lifted,7,0.0209,-0.0534,0.1255,0.7236
Qwen__Qwen3-Embedding-8B,codefuse-ai__F2LLM-v2-8B,lifted,7,0.0185,-0.0626,0.131,0.7954
Qwen__Qwen3-Embedding-8B,deepseek-r1,lifted,7,0.1542,0.0686,0.2343,0.0004
Qwen__Qwen3-Embedding-8B,deepseek__deepseek-v4-flash,lifted,7,0.1624,0.0867,0.2478,0.0
Qwen__Qwen3-Embedding-8B,glm-4.7,lifted,7,0.1212,0.0501,0.2017,0.0
Qwen__Qwen3-Embedding-8B,google__embeddinggemma-300m,lifted,7,0.0288,0.0075,0.052,0.0042
Qwen__Qwen3-Embedding-8B,google__gemini-3-flash-preview,lifted,7,0.0581,-0.0048,0.1435,0.0746
Qwen__Qwen3-Embedding-8B,google__gemini-3.1-flash-lite-preview,lifted,7,0.2133,0.0656,0.3569,0.002
google__gemini-3.1-pro-preview,Qwen__Qwen3-Embedding-8B,lifted,7,0.0131,-0.0236,0.0568,0.6076
Qwen__Qwen3-Embedding-8B,intfloat__e5-mistral-7b-instruct,lifted,7,0.2096,0.1529,0.2654,0.0
Qwen__Qwen3-Embedding-8B,intfloat__multilingual-e5-base,lifted,7,0.1318,0.0546,0.2181,0.0008
Qwen__Qwen3-Embedding-8B,intfloat__multilingual-e5-large,lifted,7,0.1149,0.0462,0.201,0.0004
Qwen__Qwen3-Embedding-8B,intfloat__multilingual-e5-large-instruct,lifted,7,0.0671,0.0082,0.1443,0.0128
Qwen__Qwen3-Embedding-8B,intfloat__multilingual-e5-small,lifted,7,0.131,0.0619,0.2077,0.0
Qwen__Qwen3-Embedding-8B,jinaai__jina-embeddings-v5-text-nano,lifted,7,0.0049,-0.0203,0.0275,0.654
Qwen__Qwen3-Embedding-8B,jinaai__jina-embeddings-v5-text-small,lifted,7,0.0003,-0.0163,0.016,0.9474
Qwen__Qwen3-Embedding-8B,kimi-k2.6,lifted,7,0.0715,0.0233,0.1166,0.0044
Qwen__Qwen3-Embedding-8B,minimax-m2.7,lifted,7,0.1159,0.0428,0.1862,0.0018
Qwen__Qwen3-Embedding-8B,ncbi__MedCPT,lifted,7,0.2062,0.1098,0.3038,0.0
Qwen__Qwen3-Embedding-8B,nvidia__llama-embed-nemotron-8b,lifted,7,0.008,-0.014,0.0274,0.4458
Qwen__Qwen3-Embedding-8B,qwen3.6-27b,lifted,7,0.0448,-0.0114,0.1005,0.1254
Qwen__Qwen3-Embedding-8B,qwen3.6-35b-a3b,lifted,7,0.0387,-0.0041,0.079,0.0768
Qwen__Qwen3-Embedding-8B,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.1179,0.0589,0.1885,0.0
Qwen__Qwen3-Embedding-8B,tencent__KaLM-Embedding-Gemma3-12B-2511,lifted,7,0.0177,-0.0094,0.0412,0.1768
Salesforce__SFR-Embedding-2_R,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.108,0.0364,0.1891,0.0014
Salesforce__SFR-Embedding-2_R,abhinand__MedEmbed-base-v0.1,lifted,7,0.089,0.0232,0.1583,0.005
Salesforce__SFR-Embedding-2_R,abhinand__MedEmbed-large-v0.1,lifted,7,0.0906,0.0261,0.1611,0.0034
Salesforce__SFR-Embedding-2_R,abhinand__MedEmbed-small-v0.1,lifted,7,0.085,0.0259,0.15,0.0028
bflhc__Octen-Embedding-8B,Salesforce__SFR-Embedding-2_R,lifted,7,0.0047,-0.0322,0.0468,0.8572
Salesforce__SFR-Embedding-2_R,codefuse-ai__F2LLM-v2-0.6B,lifted,7,0.0264,-0.0403,0.1309,0.6664
Salesforce__SFR-Embedding-2_R,codefuse-ai__F2LLM-v2-1.7B,lifted,7,0.0068,-0.0673,0.1146,0.9424
Salesforce__SFR-Embedding-2_R,codefuse-ai__F2LLM-v2-14B,lifted,7,0.0131,-0.0655,0.1283,0.8718
Salesforce__SFR-Embedding-2_R,codefuse-ai__F2LLM-v2-4B,lifted,7,0.0157,-0.057,0.1229,0.8168
Salesforce__SFR-Embedding-2_R,codefuse-ai__F2LLM-v2-8B,lifted,7,0.0133,-0.0649,0.1262,0.871
Salesforce__SFR-Embedding-2_R,deepseek-r1,lifted,7,0.149,0.0506,0.243,0.003
Salesforce__SFR-Embedding-2_R,deepseek__deepseek-v4-flash,lifted,7,0.1572,0.0644,0.2554,0.001
Salesforce__SFR-Embedding-2_R,glm-4.7,lifted,7,0.116,0.0289,0.2112,0.0056
Salesforce__SFR-Embedding-2_R,google__embeddinggemma-300m,lifted,7,0.0235,-0.015,0.0588,0.2232
Salesforce__SFR-Embedding-2_R,google__gemini-3-flash-preview,lifted,7,0.0528,-0.0128,0.1297,0.1318
Salesforce__SFR-Embedding-2_R,google__gemini-3.1-flash-lite-preview,lifted,7,0.2081,0.058,0.3582,0.007
google__gemini-3.1-pro-preview,Salesforce__SFR-Embedding-2_R,lifted,7,0.0183,-0.0341,0.0783,0.558
Salesforce__SFR-Embedding-2_R,intfloat__e5-mistral-7b-instruct,lifted,7,0.2044,0.1381,0.2689,0.0
Salesforce__SFR-Embedding-2_R,intfloat__multilingual-e5-base,lifted,7,0.1266,0.0471,0.2155,0.0006
Salesforce__SFR-Embedding-2_R,intfloat__multilingual-e5-large,lifted,7,0.1097,0.0317,0.2016,0.0014
Salesforce__SFR-Embedding-2_R,intfloat__multilingual-e5-large-instruct,lifted,7,0.0619,-0.0028,0.1392,0.054
Salesforce__SFR-Embedding-2_R,intfloat__multilingual-e5-small,lifted,7,0.1257,0.0557,0.2055,0.0
jinaai__jina-embeddings-v5-text-nano,Salesforce__SFR-Embedding-2_R,lifted,7,0.0003,-0.0341,0.0433,0.952
jinaai__jina-embeddings-v5-text-small,Salesforce__SFR-Embedding-2_R,lifted,7,0.0049,-0.0317,0.0496,0.8796
Salesforce__SFR-Embedding-2_R,kimi-k2.6,lifted,7,0.0663,0.0133,0.1198,0.0142
Salesforce__SFR-Embedding-2_R,minimax-m2.7,lifted,7,0.1107,0.0373,0.1868,0.003
Salesforce__SFR-Embedding-2_R,ncbi__MedCPT,lifted,7,0.201,0.1328,0.2741,0.0
Salesforce__SFR-Embedding-2_R,nvidia__llama-embed-nemotron-8b,lifted,7,0.0028,-0.0358,0.0382,0.852
Salesforce__SFR-Embedding-2_R,qwen3.6-27b,lifted,7,0.0396,-0.0343,0.1103,0.2838
Salesforce__SFR-Embedding-2_R,qwen3.6-35b-a3b,lifted,7,0.0335,-0.0239,0.0876,0.2502
Salesforce__SFR-Embedding-2_R,sentence-transformers__all-MiniLM-L6-v2,lifted,7,0.1127,0.0581,0.1847,0.0
Salesforce__SFR-Embedding-2_R,tencent__KaLM-Embedding-Gemma3-12B-2511,lifted,7,0.0125,-0.016,0.0335,0.339
abhinand__MedEmbed-base-v0.1,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0191,-0.0138,0.0505,0.2482
abhinand__MedEmbed-large-v0.1,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0175,-0.0249,0.0539,0.3924
abhinand__MedEmbed-small-v0.1,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0231,-0.0192,0.056,0.2644
bflhc__Octen-Embedding-8B,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.1128,0.0478,0.1882,0.0004
codefuse-ai__F2LLM-v2-0.6B,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0816,0.029,0.1395,0.001
codefuse-ai__F2LLM-v2-1.7B,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.1012,0.0418,0.1717,0.0
codefuse-ai__F2LLM-v2-14B,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.095,0.0344,0.1606,0.0012
codefuse-ai__F2LLM-v2-4B,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0924,0.0363,0.1548,0.0006
codefuse-ai__F2LLM-v2-8B,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0947,0.0368,0.1595,0.0006
Snowflake__snowflake-arctic-embed-l-v2.0,deepseek-r1,lifted,7,0.0409,-0.05,0.1261,0.3598
Snowflake__snowflake-arctic-embed-l-v2.0,deepseek__deepseek-v4-flash,lifted,7,0.0492,-0.0525,0.1428,0.3348
Snowflake__snowflake-arctic-embed-l-v2.0,glm-4.7,lifted,7,0.008,-0.0974,0.0932,0.8032
google__embeddinggemma-300m,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0845,0.0274,0.1422,0.0018
google__gemini-3-flash-preview,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.0552,-0.0685,0.1617,0.3528
Snowflake__snowflake-arctic-embed-l-v2.0,google__gemini-3.1-flash-lite-preview,lifted,7,0.1001,-0.066,0.2509,0.2198
google__gemini-3.1-pro-preview,Snowflake__snowflake-arctic-embed-l-v2.0,lifted,7,0.1264,0.0735,0.1841,0.0
